,loss,accuracy,val_loss,val_accuracy
0,0.5879006385803223,0.9275825619697571,0.11663264036178589,0.9660344123840332
1,0.08643035590648651,0.9746590256690979,0.09231062233448029,0.9722244143486023
2,0.05939529091119766,0.9816660284996033,0.07322602719068527,0.9811919927597046
3,0.04244814068078995,0.9870404005050659,0.06986170262098312,0.9794460535049438
4,0.03949142247438431,0.9878907203674316,0.07858544588088989,0.9795254468917847
5,0.0451652966439724,0.9858498573303223,0.08671050518751144,0.9794460535049438
6,0.02973868139088154,0.9914963245391846,0.12273179739713669,0.9749225974082947
7,0.036325328052043915,0.989149272441864,0.09334288537502289,0.9811919927597046
8,0.029725508764386177,0.9916663765907288,0.1022721379995346,0.9804777503013611
9,0.030113771557807922,0.9911221265792847,0.1118881106376648,0.9772240519523621
