,loss,accuracy,val_loss,val_accuracy
0,0.40585771203041077,0.9306098818778992,0.09360650926828384,0.9712721109390259
1,0.071302630007267,0.9782305359840393,0.08504544943571091,0.9755575060844421
2,0.04721596837043762,0.9856457710266113,0.07132833451032639,0.980636477470398
3,0.04624725133180618,0.9856117367744446,0.08714734017848969,0.978969931602478
4,0.03645383194088936,0.9880267977714539,0.12905246019363403,0.9712721109390259
5,0.037094488739967346,0.9881288409233093,0.18197700381278992,0.9669867753982544
6,0.0363406240940094,0.9897275567054749,0.08929945528507233,0.9819855690002441
7,0.0292216744273901,0.991632342338562,0.09989289194345474,0.9783350825309753
8,0.026635566726326942,0.9919384717941284,0.09261249005794525,0.9820649027824402
9,0.02529430389404297,0.9927888512611389,0.08893579244613647,0.9855567216873169
